user_id,country,plan,signup_date,source,mrr_usd,churn_risk_score,features_count
USR-10052,Panamá,Plus,2025-10-20,Partner_Accountant,87,0.14,7
USR-10053,Colombia,Pyme,2025-09-04,Paid,15,0.3,3
USR-10054,Panamá,Pro,2025-10-06,Organic,57,0.19,5
USR-10055,Colombia,Pro,2025-08-18,Organic,51,0.06,3
USR-10056,Colombia,Free,2025-10-02,Referral,0,0.92,1
USR-10057,Colombia,Pro,2025-10-28,Partner_Accountant,44,0.12,6
USR-10058,México,Plus,2025-12-04,Paid,134,0.07,9
USR-10059,Colombia,Pyme,2025-10-22,Organic,22,0.12,4
USR-10060,Panamá,Free,2025-08-02,Paid,0,0.43,3
USR-10061,Panamá,Pyme,2025-07-29,Partner_Accountant,15,0.12,4
USR-10062,México,Pyme,2025-12-05,Organic,16,0.16,5
USR-10063,México,Pyme,2025-11-30,Paid,31,0.27,5
USR-10064,República Dominicana,Pyme,2025-07-22,Organic,17,0.29,4
USR-10065,Costa Rica,Free,2025-09-18,Paid,0,0.39,3
USR-10066,Colombia,Pyme,2026-01-13,Referral,34,0.21,2
USR-10067,Colombia,Pro,2025-10-11,Referral,44,0.15,3
USR-10068,México,Pro,2026-01-10,Organic,38,0.15,5
USR-10069,Colombia,Free,2025-07-02,Referral,0,0.7,1
USR-10070,República Dominicana,Free,2025-12-28,Paid,0,0.64,3
USR-10071,México,Pyme,2025-09-13,Partner_Accountant,18,0.16,4
USR-10072,Colombia,Pro,2025-12-10,Organic,68,0.08,4
USR-10073,México,Pyme,2025-11-26,Referral,29,0.16,4
USR-10074,Colombia,Pro,2026-02-07,Organic,74,0.13,6
USR-10075,México,Pyme,2025-08-10,Referral,26,0.21,5
USR-10076,Colombia,Pyme,2025-09-28,Organic,24,0.31,2
USR-10077,Costa Rica,Pro,2025-11-12,Partner_Accountant,62,0.14,5
USR-10078,Costa Rica,Pro,2025-09-25,Organic,43,0.16,4
USR-10079,Colombia,Free,2026-01-17,Social,0,0.61,3
USR-10080,Colombia,Free,2026-02-09,Partner_Accountant,0,0.33,3
USR-10081,Panamá,Free,2025-09-28,Referral,0,0.39,2
USR-10082,Panamá,Pro,2026-01-19,Partner_Accountant,43,0.05,5
USR-10083,Colombia,Free,2026-01-20,Paid,0,0.81,1
USR-10084,México,Pro,2025-07-01,Paid,57,0.15,7
USR-10085,República Dominicana,Free,2025-09-25,Paid,0,0.33,3
USR-10086,Costa Rica,Free,2025-10-10,Paid,0,0.7,1
USR-10087,Costa Rica,Free,2025-10-03,Organic,0,0.5,2
USR-10088,Costa Rica,Pro,2025-12-02,Organic,69,0.13,5
USR-10089,Colombia,Plus,2025-07-20,Social,121,0.07,8
USR-10090,México,Free,2026-01-05,Organic,0,0.4,2
USR-10091,Colombia,Plus,2025-08-01,Referral,132,0.23,5
USR-10092,México,Free,2025-08-05,Organic,0,0.49,2
USR-10093,Colombia,Free,2025-10-31,Partner_Accountant,0,0.56,3
USR-10094,México,Pyme,2025-08-03,Partner_Accountant,28,0.29,2
USR-10095,Panamá,Pyme,2025-07-21,Paid,23,0.21,4
USR-10096,Panamá,Free,2025-07-21,Partner_Accountant,0,0.5,3
USR-10097,Costa Rica,Pyme,2025-12-24,Referral,16,0.09,5
USR-10098,Colombia,Pyme,2025-09-02,Paid,19,0.28,4
USR-10099,México,Pro,2025-07-24,Referral,67,0.12,4
USR-10100,Colombia,Free,2025-10-12,Paid,0,0.8,1
USR-10101,Colombia,Pyme,2025-09-10,Partner_Accountant,34,0.25,3
USR-10102,México,Free,2025-12-30,Organic,0,0.36,2
USR-10103,República Dominicana,Free,2026-01-29,Paid,0,0.63,3
USR-10104,México,Free,2026-01-15,Partner_Accountant,0,0.51,3
USR-10105,Panamá,Free,2025-09-19,Organic,0,0.65,3
USR-10106,Panamá,Pyme,2025-08-14,Paid,29,0.12,4
USR-10107,México,Pyme,2026-02-25,Referral,23,0.12,5
USR-10108,República Dominicana,Free,2025-11-28,Partner_Accountant,0,0.32,3
USR-10109,Panamá,Plus,2025-12-15,Organic,100,0.15,10
USR-10110,México,Pyme,2026-02-03,Social,31,0.23,3
USR-10111,México,Pro,2026-02-05,Organic,60,0.17,7
USR-10112,Colombia,Free,2025-10-12,Paid,0,0.39,3
USR-10113,México,Pyme,2025-12-18,Referral,21,0.07,5
USR-10114,República Dominicana,Pyme,2025-10-23,Partner_Accountant,16,0.23,5
USR-10115,Panamá,Free,2025-07-09,Social,0,0.73,1
USR-10116,Costa Rica,Plus,2025-12-22,Paid,119,0.08,4
USR-10117,México,Free,2025-10-26,Organic,0,0.61,1
USR-10118,República Dominicana,Pro,2025-08-22,Organic,41,0.16,6
USR-10119,República Dominicana,Free,2025-08-06,Paid,0,0.52,2
USR-10120,República Dominicana,Pyme,2025-09-27,Organic,35,0.14,4
USR-10121,Costa Rica,Pyme,2025-11-20,Social,31,0.21,3
USR-10122,Colombia,Free,2025-07-11,Partner_Accountant,0,0.38,3
USR-10123,Panamá,Free,2025-10-31,Social,0,0.43,2
USR-10124,Colombia,Free,2025-10-28,Partner_Accountant,0,0.71,1
USR-10125,Colombia,Free,2026-02-25,Paid,0,0.43,2
USR-10126,Colombia,Pro,2025-12-12,Social,64,0.3,5
USR-10127,Costa Rica,Free,2025-07-03,Partner_Accountant,0,0.56,2
USR-10128,Colombia,Pro,2025-09-12,Referral,67,0.1,4
USR-10129,México,Plus,2025-12-23,Organic,86,0.07,7
USR-10130,Colombia,Plus,2025-09-10,Partner_Accountant,79,0.24,5
USR-10131,México,Free,2026-01-19,Partner_Accountant,0,0.75,1
USR-10132,México,Pyme,2026-01-15,Referral,25,0.16,5
USR-10133,República Dominicana,Pyme,2025-09-20,Partner_Accountant,26,0.31,2
USR-10134,México,Pyme,2025-07-07,Paid,17,0.46,2
USR-10135,República Dominicana,Pyme,2025-09-01,Social,33,0.17,5
USR-10136,México,Pyme,2025-08-04,Referral,24,0.13,4
USR-10137,Colombia,Free,2025-09-20,Social,0,0.41,3
USR-10138,Colombia,Pro,2026-01-03,Organic,48,0.13,5
USR-10139,México,Plus,2025-11-17,Partner_Accountant,143,0.2,8
USR-10140,Colombia,Free,2025-12-21,Referral,0,0.34,2
USR-10141,República Dominicana,Free,2026-01-17,Paid,0,0.48,2
USR-10142,Costa Rica,Free,2025-12-13,Partner_Accountant,0,0.43,3
USR-10143,México,Pyme,2025-12-05,Organic,21,0.24,5
USR-10144,República Dominicana,Pyme,2025-09-19,Social,34,0.45,2
USR-10145,Colombia,Pyme,2025-08-04,Organic,25,0.09,4
USR-10146,Costa Rica,Plus,2025-08-12,Organic,92,0.29,5
USR-10147,México,Free,2026-01-20,Referral,0,0.42,2
USR-10148,México,Free,2026-01-15,Organic,0,0.79,1
USR-10149,República Dominicana,Pyme,2026-02-09,Organic,16,0.25,4
USR-10150,Costa Rica,Pro,2025-11-14,Referral,73,0.12,4
USR-10151,Colombia,Free,2025-12-27,Partner_Accountant,0,0.5,3
USR-10152,República Dominicana,Pro,2026-01-08,Paid,58,0.26,6
USR-10153,República Dominicana,Pro,2025-07-12,Partner_Accountant,75,0.16,3
USR-10154,México,Free,2025-09-09,Social,0,0.83,1
USR-10155,México,Free,2025-08-29,Partner_Accountant,0,0.77,1
USR-10156,México,Pyme,2025-09-26,Organic,18,0.25,5
USR-10157,Colombia,Pyme,2025-12-14,Organic,20,0.26,3
USR-10158,México,Pyme,2025-09-02,Partner_Accountant,23,0.2,4
USR-10159,México,Free,2025-07-19,Partner_Accountant,0,0.64,2
USR-10160,República Dominicana,Plus,2025-07-05,Partner_Accountant,76,0.12,6
USR-10161,Panamá,Plus,2025-09-22,Organic,83,0.08,6
USR-10162,Colombia,Pyme,2025-09-05,Partner_Accountant,20,0.16,4
USR-10163,Colombia,Pro,2025-08-10,Organic,41,0.06,3
USR-10164,Colombia,Plus,2026-01-22,Organic,103,0.14,6
USR-10165,México,Free,2026-01-17,Paid,0,0.7,2
USR-10166,Colombia,Plus,2025-11-16,Organic,76,0.3,6
USR-10167,México,Plus,2025-07-25,Organic,125,0.29,4
USR-10168,Colombia,Free,2025-08-21,Organic,0,0.66,1
USR-10169,Colombia,Free,2025-10-24,Partner_Accountant,0,0.66,1
USR-10170,República Dominicana,Pyme,2026-02-05,Organic,25,0.22,3
USR-10171,República Dominicana,Free,2026-01-22,Referral,0,0.65,1
USR-10172,República Dominicana,Plus,2025-11-28,Organic,77,0.28,4
USR-10173,Costa Rica,Free,2025-12-22,Organic,0,0.7,1
USR-10174,Colombia,Pyme,2025-09-14,Organic,30,0.15,5
USR-10175,México,Pro,2025-11-22,Paid,55,0.06,5
USR-10176,Colombia,Free,2026-01-19,Referral,0,0.37,2
USR-10177,República Dominicana,Free,2025-08-06,Referral,0,0.32,3
USR-10178,Costa Rica,Free,2025-12-31,Organic,0,0.81,1
USR-10179,Colombia,Pyme,2025-07-19,Paid,26,0.3,2
USR-10180,México,Pyme,2025-12-29,Paid,32,0.13,3
USR-10181,México,Pro,2025-11-23,Partner_Accountant,46,0.14,7
USR-10182,Colombia,Free,2025-10-07,Organic,0,0.44,2
USR-10183,México,Pro,2025-10-24,Organic,37,0.07,3
USR-10184,Panamá,Free,2026-02-14,Social,0,0.32,3
USR-10185,Colombia,Free,2026-02-01,Referral,0,0.34,2
USR-10186,Colombia,Free,2025-07-21,Partner_Accountant,0,0.66,2
USR-10187,México,Free,2025-07-12,Organic,0,0.53,2
USR-10188,República Dominicana,Pro,2026-01-10,Paid,49,0.29,3
USR-10189,México,Pro,2025-11-24,Organic,71,0.29,3
USR-10190,Colombia,Pro,2025-11-30,Organic,55,0.19,3
USR-10191,México,Pyme,2025-10-15,Paid,19,0.44,2
USR-10192,Colombia,Pyme,2025-10-30,Referral,16,0.22,5
USR-10193,México,Pyme,2026-02-08,Organic,22,0.07,5
USR-10194,México,Pro,2025-11-23,Referral,46,0.06,4
USR-10195,República Dominicana,Free,2025-10-23,Referral,0,0.64,3
USR-10196,Colombia,Pyme,2026-02-05,Social,22,0.25,4
USR-10197,Colombia,Pro,2025-12-29,Paid,52,0.22,6
USR-10198,Colombia,Free,2025-09-09,Organic,0,0.36,2
USR-10199,Costa Rica,Pyme,2025-12-22,Partner_Accountant,19,0.23,4
USR-10200,República Dominicana,Plus,2025-11-07,Partner_Accountant,146,0.11,5
USR-10201,Costa Rica,Pyme,2025-10-04,Partner_Accountant,23,0.2,5
USR-10202,Costa Rica,Free,2025-09-26,Social,0,0.9,1
USR-10203,México,Pyme,2025-12-10,Organic,16,0.25,4
USR-10204,Colombia,Pyme,2026-03-01,Partner_Accountant,15,0.11,3
USR-10205,Colombia,Pro,2025-09-13,Paid,68,0.24,5
USR-10206,México,Free,2025-12-14,Paid,0,0.56,3
USR-10207,Colombia,Free,2025-08-22,Partner_Accountant,0,0.41,2
USR-10208,Colombia,Pro,2025-07-30,Organic,66,0.09,7
USR-10209,Colombia,Pyme,2025-07-26,Partner_Accountant,23,0.25,4
USR-10210,Costa Rica,Pro,2025-08-05,Organic,45,0.1,5
USR-10211,Colombia,Pyme,2026-02-27,Organic,20,0.24,5
USR-10212,México,Free,2025-07-04,Partner_Accountant,0,0.78,1
USR-10213,Colombia,Pyme,2025-09-27,Organic,35,0.35,2
USR-10214,República Dominicana,Free,2025-09-10,Paid,0,0.33,3
USR-10215,Colombia,Pyme,2025-07-27,Partner_Accountant,27,0.47,2
USR-10216,Colombia,Pro,2026-02-02,Partner_Accountant,56,0.24,7
USR-10217,República Dominicana,Pyme,2025-08-20,Paid,21,0.08,3
USR-10218,Costa Rica,Pyme,2025-11-07,Referral,19,0.45,2
USR-10219,Colombia,Pyme,2025-08-02,Partner_Accountant,18,0.29,5
USR-10220,Colombia,Pro,2025-08-25,Referral,48,0.24,5
USR-10221,Costa Rica,Pro,2025-07-07,Referral,44,0.3,3
USR-10222,República Dominicana,Free,2025-07-27,Partner_Accountant,0,0.5,3
USR-10223,México,Plus,2025-09-19,Social,76,0.12,9
USR-10224,Colombia,Free,2026-02-24,Organic,0,0.44,2
USR-10225,México,Pro,2025-11-17,Organic,60,0.12,5
USR-10226,Costa Rica,Pyme,2025-07-11,Partner_Accountant,25,0.26,5
USR-10227,Colombia,Plus,2025-11-14,Partner_Accountant,83,0.26,5
USR-10228,Colombia,Free,2026-01-20,Organic,0,0.46,3
USR-10229,Colombia,Pro,2026-01-07,Organic,37,0.13,5
USR-10230,República Dominicana,Pro,2025-09-14,Partner_Accountant,44,0.05,5
USR-10231,Costa Rica,Pro,2025-08-17,Organic,74,0.24,4
USR-10232,Colombia,Pyme,2025-09-30,Social,19,0.17,4
USR-10233,Panamá,Free,2026-01-18,Paid,0,0.65,2
USR-10234,México,Free,2026-02-01,Partner_Accountant,0,0.86,1
USR-10235,Colombia,Free,2025-07-08,Referral,0,0.52,3
USR-10236,Costa Rica,Pyme,2025-08-04,Partner_Accountant,29,0.35,2
USR-10237,República Dominicana,Pro,2025-08-10,Organic,71,0.24,4
USR-10238,México,Plus,2025-07-11,Partner_Accountant,88,0.14,9
USR-10239,Colombia,Pyme,2025-08-08,Paid,20,0.44,2
USR-10240,Colombia,Free,2025-07-06,Partner_Accountant,0,0.55,3
USR-10241,México,Pyme,2025-12-11,Social,15,0.09,3
USR-10242,México,Pyme,2025-12-23,Organic,25,0.32,2
USR-10243,México,Pyme,2025-07-25,Organic,20,0.4,2
USR-10244,Panamá,Pyme,2025-10-16,Paid,26,0.25,5
USR-10245,Colombia,Pro,2025-08-18,Paid,35,0.15,7
USR-10246,México,Free,2025-11-01,Referral,0,0.64,2
USR-10247,República Dominicana,Free,2025-10-11,Organic,0,0.94,1
USR-10248,Costa Rica,Pyme,2025-07-23,Partner_Accountant,17,0.2,4
USR-10249,México,Free,2026-01-22,Partner_Accountant,0,0.78,1
USR-10250,República Dominicana,Free,2025-08-10,Partner_Accountant,0,0.53,2
USR-10251,Colombia,Free,2026-02-20,Partner_Accountant,0,0.48,2
USR-10252,México,Pyme,2025-09-26,Referral,18,0.11,4
USR-10253,Colombia,Free,2025-08-26,Partner_Accountant,0,0.3,2
USR-10254,República Dominicana,Pro,2026-02-24,Organic,65,0.28,5
USR-10255,México,Pro,2025-07-21,Organic,74,0.17,7
USR-10256,Costa Rica,Pro,2025-07-31,Referral,64,0.2,3
USR-10257,Colombia,Plus,2025-08-17,Paid,101,0.29,7
USR-10258,Colombia,Pyme,2026-02-03,Social,35,0.26,4
USR-10259,Colombia,Pro,2025-10-01,Paid,70,0.29,5
USR-10260,República Dominicana,Pyme,2025-12-05,Organic,24,0.26,3
USR-10261,República Dominicana,Pyme,2026-02-13,Paid,29,0.08,5
USR-10262,México,Free,2026-01-12,Paid,0,0.42,3
USR-10263,Colombia,Pyme,2025-09-22,Partner_Accountant,30,0.18,4
USR-10264,México,Plus,2025-08-28,Referral,114,0.18,6
USR-10265,República Dominicana,Pyme,2025-11-18,Partner_Accountant,26,0.21,5
USR-10266,República Dominicana,Free,2026-01-24,Partner_Accountant,0,0.65,1
USR-10267,México,Free,2025-08-18,Partner_Accountant,0,0.61,1
USR-10268,Colombia,Pro,2025-08-29,Partner_Accountant,44,0.17,6
USR-10269,Costa Rica,Pro,2025-08-01,Partner_Accountant,59,0.24,4
USR-10270,República Dominicana,Pro,2025-08-01,Referral,65,0.11,4
USR-10271,Panamá,Pyme,2025-12-24,Partner_Accountant,34,0.35,2
USR-10272,México,Free,2025-12-27,Partner_Accountant,0,0.69,2
USR-10273,México,Free,2025-09-30,Partner_Accountant,0,0.42,2
USR-10274,Colombia,Pro,2026-01-29,Paid,70,0.12,3
USR-10275,México,Free,2025-09-21,Partner_Accountant,0,0.84,1
USR-10276,México,Free,2025-07-29,Partner_Accountant,0,0.66,1
USR-10277,México,Free,2026-01-31,Referral,0,0.45,3
USR-10278,Panamá,Pro,2025-12-11,Referral,58,0.26,6
USR-10279,Panamá,Pyme,2026-01-08,Referral,18,0.25,4
USR-10280,Costa Rica,Pyme,2026-02-02,Social,26,0.24,4
USR-10281,Panamá,Pyme,2026-02-13,Referral,24,0.24,3
USR-10282,Colombia,Pyme,2025-09-06,Organic,26,0.19,3
USR-10283,Colombia,Pro,2025-11-25,Partner_Accountant,73,0.25,3
USR-10284,Costa Rica,Pro,2025-12-15,Organic,35,0.13,3
USR-10285,República Dominicana,Free,2025-11-30,Paid,0,0.7,1
USR-10286,Colombia,Pyme,2025-11-18,Partner_Accountant,27,0.17,5
USR-10287,México,Pyme,2025-07-29,Referral,28,0.21,4
USR-10288,México,Plus,2025-12-23,Organic,85,0.26,4
USR-10289,República Dominicana,Free,2026-01-09,Referral,0,0.53,3
USR-10290,República Dominicana,Free,2026-02-27,Referral,0,0.31,3
USR-10291,Colombia,Free,2025-11-14,Partner_Accountant,0,0.32,3
USR-10292,Colombia,Free,2025-08-30,Partner_Accountant,0,0.68,3
USR-10293,Colombia,Free,2025-12-04,Social,0,0.65,1
USR-10294,México,Pyme,2025-12-15,Organic,19,0.16,3
USR-10295,Colombia,Pyme,2025-07-31,Social,20,0.49,2
USR-10296,México,Pro,2025-08-18,Organic,43,0.2,3
USR-10297,México,Pyme,2025-10-04,Partner_Accountant,20,0.15,5
USR-10298,Panamá,Plus,2025-11-03,Partner_Accountant,106,0.18,7
USR-10299,Colombia,Free,2026-01-28,Paid,0,0.58,2
USR-10300,Colombia,Pyme,2025-11-27,Organic,32,0.2,5
USR-10301,República Dominicana,Free,2025-12-10,Partner_Accountant,0,0.45,3
USR-10302,Costa Rica,Free,2026-01-13,Organic,0,0.55,2
USR-10303,México,Free,2026-02-04,Referral,0,0.54,3
USR-10304,Costa Rica,Free,2026-01-26,Partner_Accountant,0,0.83,1
USR-10305,República Dominicana,Pro,2026-02-21,Paid,38,0.19,6
USR-10306,Costa Rica,Free,2025-08-01,Referral,0,0.58,2
USR-10307,México,Free,2025-12-02,Partner_Accountant,0,0.67,2
USR-10308,México,Pro,2025-08-29,Partner_Accountant,47,0.23,3
USR-10309,México,Pyme,2025-08-21,Organic,24,0.05,4
USR-10310,Colombia,Free,2026-02-20,Partner_Accountant,0,0.66,2
USR-10311,Panamá,Free,2025-11-22,Referral,0,0.8,1
USR-10312,Costa Rica,Free,2025-09-10,Social,0,0.37,3
USR-10313,Colombia,Pyme,2025-08-30,Referral,26,0.08,3
USR-10314,República Dominicana,Plus,2025-09-26,Organic,114,0.15,10
USR-10315,Colombia,Free,2026-01-14,Referral,0,0.7,1
USR-10316,México,Free,2025-11-18,Referral,0,0.33,3
USR-10317,Costa Rica,Free,2025-07-23,Paid,0,0.42,3
USR-10318,República Dominicana,Pyme,2026-01-25,Organic,29,0.09,4
USR-10319,México,Free,2025-09-28,Referral,0,0.5,2
USR-10320,México,Free,2025-10-27,Paid,0,0.69,1
USR-10321,México,Free,2025-11-29,Partner_Accountant,0,0.37,2
USR-10322,Costa Rica,Free,2025-09-22,Referral,0,0.93,1
USR-10323,República Dominicana,Pyme,2025-09-22,Partner_Accountant,30,0.22,3
USR-10324,República Dominicana,Free,2026-02-19,Referral,0,0.6,1
USR-10325,Costa Rica,Pro,2026-02-16,Organic,38,0.23,7
USR-10326,México,Free,2025-08-02,Partner_Accountant,0,0.56,3
USR-10327,México,Pro,2025-10-17,Partner_Accountant,46,0.16,7
USR-10328,Colombia,Pyme,2025-08-06,Partner_Accountant,31,0.27,2
USR-10329,República Dominicana,Pyme,2025-12-04,Referral,16,0.35,2
USR-10330,Panamá,Pro,2025-07-10,Paid,54,0.21,5
USR-10331,Colombia,Free,2025-07-04,Partner_Accountant,0,0.62,3
USR-10332,Colombia,Plus,2025-11-30,Social,127,0.21,10
USR-10333,México,Pyme,2025-12-22,Social,16,0.12,4
USR-10334,México,Free,2025-12-24,Paid,0,0.89,1
USR-10335,México,Pyme,2026-01-02,Paid,24,0.22,2
USR-10336,México,Pro,2026-02-05,Organic,43,0.21,7
USR-10337,Panamá,Free,2025-08-15,Partner_Accountant,0,0.74,1
USR-10338,Colombia,Pro,2025-12-12,Organic,63,0.19,3
USR-10339,Colombia,Free,2025-08-08,Paid,0,0.85,1
USR-10340,México,Pro,2026-01-18,Partner_Accountant,69,0.19,3
USR-10341,Panamá,Pyme,2026-02-04,Paid,25,0.22,4
USR-10342,México,Free,2025-07-07,Organic,0,0.56,2
USR-10343,Colombia,Free,2025-07-11,Partner_Accountant,0,0.6,3
USR-10344,México,Plus,2025-12-27,Organic,76,0.09,5
USR-10345,Colombia,Pro,2025-10-11,Partner_Accountant,42,0.13,7
USR-10346,México,Free,2025-07-21,Partner_Accountant,0,0.91,1
USR-10347,República Dominicana,Pyme,2025-08-06,Organic,35,0.06,5
USR-10348,Colombia,Plus,2025-12-06,Social,139,0.08,5
USR-10349,Colombia,Pyme,2026-01-23,Paid,29,0.25,2
USR-10350,República Dominicana,Pyme,2025-08-20,Paid,25,0.15,4
USR-10351,Colombia,Pyme,2025-10-04,Organic,19,0.06,4
USR-10352,Colombia,Free,2026-01-20,Organic,0,0.46,3
USR-10353,República Dominicana,Free,2025-11-26,Paid,0,0.32,3
USR-10354,Costa Rica,Pyme,2025-11-04,Organic,22,0.24,2
USR-10355,México,Free,2026-02-05,Partner_Accountant,0,0.65,2
USR-10356,México,Pro,2026-02-14,Organic,68,0.07,5
USR-10357,México,Pyme,2025-11-21,Partner_Accountant,21,0.23,3
USR-10358,Colombia,Free,2025-12-22,Paid,0,0.72,1
USR-10359,Costa Rica,Pyme,2026-01-28,Referral,32,0.07,4
USR-10360,México,Pro,2025-12-08,Referral,53,0.1,7
USR-10361,Costa Rica,Pyme,2025-08-03,Paid,24,0.24,3
USR-10362,República Dominicana,Free,2026-01-31,Social,0,0.95,1
USR-10363,Colombia,Free,2025-07-09,Referral,0,0.69,2
USR-10364,Panamá,Pro,2026-02-23,Social,44,0.25,7
USR-10365,Colombia,Free,2025-11-27,Partner_Accountant,0,0.63,1
USR-10366,República Dominicana,Free,2025-08-19,Referral,0,0.74,1
USR-10367,México,Free,2025-09-28,Paid,0,0.85,1
USR-10368,Costa Rica,Free,2026-02-15,Partner_Accountant,0,0.38,3
USR-10369,República Dominicana,Free,2026-02-20,Paid,0,0.37,3
USR-10370,México,Pro,2026-01-19,Organic,44,0.17,5
USR-10371,México,Free,2025-12-25,Partner_Accountant,0,0.37,3
USR-10372,Colombia,Free,2025-09-30,Partner_Accountant,0,0.61,3
USR-10373,Colombia,Pro,2025-09-08,Partner_Accountant,41,0.24,7
USR-10374,México,Pyme,2025-07-30,Partner_Accountant,28,0.34,2
USR-10375,Costa Rica,Pyme,2025-09-26,Partner_Accountant,20,0.46,2
USR-10376,Colombia,Free,2026-01-17,Partner_Accountant,0,0.38,2
USR-10377,México,Plus,2025-09-16,Organic,90,0.26,8
USR-10378,Colombia,Free,2025-11-15,Social,0,0.48,3
USR-10379,Colombia,Free,2025-08-01,Social,0,0.87,1
USR-10380,República Dominicana,Free,2025-10-07,Referral,0,0.42,3
USR-10381,Panamá,Free,2025-12-20,Organic,0,0.35,2
USR-10382,República Dominicana,Pro,2025-10-02,Organic,56,0.24,7
USR-10383,República Dominicana,Free,2025-11-05,Paid,0,0.86,1
USR-10384,República Dominicana,Plus,2025-12-21,Paid,113,0.12,8
USR-10385,México,Free,2026-02-06,Referral,0,0.59,2
USR-10386,República Dominicana,Pyme,2025-10-30,Referral,32,0.35,2
USR-10387,Panamá,Free,2025-07-12,Organic,0,0.45,3
USR-10388,Colombia,Free,2025-12-24,Organic,0,0.52,2
USR-10389,México,Pyme,2025-10-29,Organic,33,0.25,5
USR-10390,Panamá,Free,2026-01-18,Partner_Accountant,0,0.42,2
USR-10391,República Dominicana,Pyme,2025-09-08,Referral,17,0.21,5
USR-10392,República Dominicana,Pyme,2025-12-08,Partner_Accountant,31,0.25,5
USR-10393,Colombia,Pyme,2025-10-20,Paid,28,0.21,3
USR-10394,Colombia,Pro,2025-11-02,Paid,62,0.08,3
USR-10395,Colombia,Pro,2025-07-15,Partner_Accountant,55,0.15,3
