ticket_id,user_id,category,priority,channel,created_date,resolved_date,status,resolution_hours,csat_score
TKT-20025,USR-10252,Billing,High,Chat,2025-10-30,2025-10-31,Resolved,44,2
TKT-20026,USR-10281,Billing,Medium,Email,2026-02-25,2026-02-28,Closed,73,4
TKT-20027,USR-11605,Billing,Medium,Phone,2026-02-05,,Open,,
TKT-20028,USR-10542,Bug,High,Email,2025-11-19,2025-12-01,Closed,311,3
TKT-20029,USR-11544,Feature_Request,High,WhatsApp,2025-11-22,2025-11-26,Resolved,99,3
TKT-20030,USR-10253,Onboarding,Low,Phone,2025-11-22,2025-11-27,Resolved,128,4
TKT-20031,USR-11504,Bug,Medium,Phone,2026-02-06,2026-02-07,Resolved,34,5
TKT-20032,USR-10429,Onboarding,High,Phone,2026-02-11,2026-02-13,Resolved,49,2
TKT-20033,USR-11093,Billing,Medium,Chat,2026-02-10,2026-02-23,Closed,317,2
TKT-20034,USR-11636,Bug,Low,Phone,2025-09-17,2025-09-25,Resolved,208,3
TKT-20035,USR-10114,Performance,Low,Email,2026-01-17,2026-01-28,Closed,280,3
TKT-20036,USR-11060,Billing,Medium,WhatsApp,2025-12-12,,Open,,
TKT-20037,USR-11466,Performance,High,Email,2026-02-07,2026-02-21,Closed,347,4
TKT-20038,USR-10530,Feature_Request,Critical,WhatsApp,2026-01-25,2026-01-26,Resolved,39,5
TKT-20039,USR-10988,Feature_Request,Medium,Email,2025-10-15,2025-10-24,Resolved,217,4
TKT-20040,USR-10626,Onboarding,Low,Email,2025-10-03,2025-10-03,Resolved,12,4
TKT-20041,USR-10609,Integration,Medium,Email,2026-01-20,2026-01-27,Resolved,183,4
TKT-20042,USR-10947,Integration,Low,WhatsApp,2026-02-17,2026-03-03,Resolved,336,3
TKT-20043,USR-11193,Billing,Low,Email,2025-11-07,2025-11-21,Closed,347,1
TKT-20044,USR-10518,Feature_Request,Critical,WhatsApp,2025-11-26,,Open,,
TKT-20045,USR-10123,Integration,High,Phone,2026-01-18,2026-01-31,Closed,326,3
TKT-20046,USR-10063,Onboarding,Medium,Chat,2026-01-20,2026-01-22,Resolved,70,5
TKT-20047,USR-10976,Feature_Request,Low,Phone,2026-02-24,2026-03-02,Closed,145,3
TKT-20048,USR-11329,Bug,Critical,Phone,2026-02-21,,In_Progress,,
TKT-20049,USR-11940,Feature_Request,Critical,Email,2025-11-30,,In_Progress,,
TKT-20050,USR-10875,Billing,High,Phone,2025-11-28,2025-12-07,Closed,226,4
TKT-20051,USR-11897,Feature_Request,Medium,Chat,2026-01-25,2026-02-05,Resolved,269,5
TKT-20052,USR-10918,Performance,Medium,Email,2025-10-08,2025-10-15,Closed,182,2
TKT-20053,USR-11493,Billing,High,Phone,2026-01-12,,Open,,
TKT-20054,USR-11847,Billing,Low,WhatsApp,2026-02-22,2026-02-28,Closed,156,5
TKT-20055,USR-10209,Onboarding,Medium,Phone,2025-08-30,,Open,,
TKT-20056,USR-10082,Feature_Request,High,WhatsApp,2026-02-18,2026-02-28,Resolved,247,2
TKT-20057,USR-11033,Billing,Critical,Email,2025-11-04,,Open,,
TKT-20058,USR-11448,Bug,Medium,Phone,2026-02-23,2026-02-23,Resolved,18,4
TKT-20059,USR-10730,Bug,High,WhatsApp,2025-10-27,2025-11-07,Closed,279,4
TKT-20060,USR-10986,Feature_Request,Low,Email,2026-02-22,2026-02-27,Resolved,140,3
TKT-20061,USR-11802,Onboarding,Low,WhatsApp,2025-10-24,2025-11-04,Resolved,287,5
TKT-20062,USR-11184,Bug,Low,Email,2025-10-03,,Open,,
TKT-20063,USR-10776,Billing,Medium,Phone,2025-12-13,2025-12-14,Resolved,46,5
TKT-20064,USR-11068,Onboarding,Critical,Phone,2026-02-07,2026-02-10,Closed,78,5
TKT-20065,USR-11791,Onboarding,Low,Chat,2025-10-04,,In_Progress,,
TKT-20066,USR-10729,Bug,Low,WhatsApp,2025-11-28,,In_Progress,,
TKT-20067,USR-10454,Billing,High,Email,2025-10-09,,Open,,
TKT-20068,USR-11722,Bug,Medium,Email,2026-01-31,2026-02-01,Closed,32,4
TKT-20069,USR-11927,Billing,High,Email,2025-10-13,,Open,,
TKT-20070,USR-11401,Performance,Medium,Chat,2025-12-16,2025-12-25,Resolved,232,5
TKT-20071,USR-10305,Onboarding,Medium,Email,2026-02-24,2026-02-24,Resolved,0,4
TKT-20072,USR-11148,Performance,High,Chat,2025-10-31,,In_Progress,,
TKT-20073,USR-11069,Integration,Critical,Phone,2025-09-24,,In_Progress,,
TKT-20074,USR-11167,Onboarding,High,Phone,2025-12-19,,In_Progress,,
TKT-20075,USR-11660,Integration,Critical,Phone,2026-02-12,2026-02-15,Closed,86,2
TKT-20076,USR-11617,Integration,Low,Chat,2026-01-23,,Open,,
TKT-20077,USR-11626,Onboarding,High,Chat,2025-12-25,2025-12-29,Closed,101,4
TKT-20078,USR-11955,Performance,Low,WhatsApp,2025-12-15,,Open,,
TKT-20079,USR-11051,Performance,Medium,Phone,2026-02-08,2026-02-13,Resolved,130,5
TKT-20080,USR-11398,Integration,Medium,Phone,2025-12-12,2025-12-21,Resolved,226,5
TKT-20081,USR-10088,Feature_Request,Medium,Phone,2026-01-28,2026-01-30,Closed,69,4
TKT-20082,USR-10805,Bug,High,Chat,2026-02-15,,Open,,
TKT-20083,USR-10589,Performance,Low,Phone,2026-01-24,2026-02-05,Closed,309,3
TKT-20084,USR-10663,Billing,Medium,WhatsApp,2025-10-21,2025-10-25,Closed,108,2
TKT-20085,USR-10534,Performance,Low,Phone,2026-02-09,,In_Progress,,
TKT-20086,USR-10218,Onboarding,High,WhatsApp,2025-12-26,2026-01-02,Resolved,186,1
TKT-20087,USR-11046,Performance,High,WhatsApp,2026-01-31,2026-02-13,Closed,320,4
TKT-20088,USR-11270,Billing,Critical,WhatsApp,2026-02-27,2026-03-02,Resolved,92,5
TKT-20089,USR-10309,Onboarding,Low,WhatsApp,2025-09-02,2025-09-10,Resolved,209,3
TKT-20090,USR-11251,Feature_Request,Low,Email,2025-10-27,,Open,,
TKT-20091,USR-10570,Integration,Low,Email,2025-10-02,2025-10-08,Closed,152,4
TKT-20092,USR-10505,Onboarding,High,Email,2026-02-14,2026-02-14,Resolved,12,3
TKT-20093,USR-10705,Billing,Critical,WhatsApp,2025-11-07,2025-11-09,Resolved,70,3
TKT-20094,USR-11848,Integration,Low,Email,2026-01-09,2026-01-22,Closed,333,5
TKT-20095,USR-11984,Performance,Low,Phone,2025-08-02,2025-08-07,Closed,132,2
TKT-20096,USR-11824,Onboarding,Critical,Phone,2025-12-20,2025-12-21,Closed,38,1
TKT-20097,USR-11351,Integration,High,Email,2026-02-03,,Open,,
TKT-20098,USR-10290,Performance,Medium,Chat,2026-02-04,2026-02-10,Resolved,154,1
TKT-20099,USR-11877,Onboarding,High,Email,2026-01-13,2026-01-19,Resolved,144,1
TKT-20100,USR-10414,Feature_Request,Low,Email,2026-02-10,2026-02-23,Resolved,316,3
TKT-20101,USR-11204,Integration,Medium,WhatsApp,2025-12-15,2025-12-19,Resolved,119,5
TKT-20102,USR-11643,Onboarding,High,Chat,2025-12-23,2026-01-03,Resolved,264,1
TKT-20103,USR-11021,Feature_Request,Critical,WhatsApp,2025-09-16,2025-09-18,Closed,49,2
TKT-20104,USR-10104,Feature_Request,Critical,Phone,2026-01-26,2026-01-29,Closed,78,4
TKT-20105,USR-10793,Integration,Medium,WhatsApp,2025-12-04,2025-12-15,Resolved,271,5
TKT-20106,USR-11031,Performance,Medium,Phone,2025-11-02,,Open,,
TKT-20107,USR-11826,Onboarding,Critical,Phone,2026-02-08,2026-02-08,Closed,16,2
TKT-20108,USR-10895,Onboarding,Low,Phone,2026-01-28,2026-02-01,Closed,98,5
TKT-20109,USR-10561,Bug,Medium,Chat,2025-12-14,,In_Progress,,
TKT-20110,USR-10513,Billing,Critical,Email,2026-02-01,,In_Progress,,
TKT-20111,USR-11451,Feature_Request,High,Email,2026-02-26,,In_Progress,,
TKT-20112,USR-11461,Bug,Medium,Email,2026-02-02,2026-02-14,Resolved,291,5
TKT-20113,USR-10643,Integration,High,Email,2025-12-10,2025-12-17,Resolved,189,2
TKT-20114,USR-11425,Billing,Low,WhatsApp,2025-12-26,2026-01-03,Resolved,206,5
TKT-20115,USR-11891,Onboarding,Low,WhatsApp,2026-02-20,2026-02-21,Closed,36,3
TKT-20116,USR-10014,Feature_Request,Medium,Chat,2025-11-20,2025-11-29,Closed,228,4
TKT-20117,USR-11404,Performance,Medium,WhatsApp,2026-02-08,2026-02-14,Resolved,156,5
TKT-20118,USR-11909,Feature_Request,Critical,WhatsApp,2026-01-02,2026-01-05,Resolved,73,2
TKT-20119,USR-11151,Feature_Request,Low,Email,2025-11-23,2025-12-03,Closed,258,3
TKT-20120,USR-10892,Feature_Request,Medium,WhatsApp,2025-10-29,,In_Progress,,
TKT-20121,USR-10744,Billing,Low,WhatsApp,2025-10-12,2025-10-20,Resolved,196,4
TKT-20122,USR-10958,Feature_Request,Medium,WhatsApp,2025-12-19,,In_Progress,,
TKT-20123,USR-10157,Performance,Medium,Email,2026-01-30,,Open,,
TKT-20124,USR-11218,Integration,Medium,Phone,2026-02-21,2026-03-03,Resolved,241,5
TKT-20125,USR-10126,Onboarding,High,Email,2025-12-30,2026-01-03,Resolved,114,5
TKT-20126,USR-10076,Bug,Low,Email,2025-10-10,,In_Progress,,
TKT-20127,USR-10182,Integration,Medium,Chat,2025-12-19,2026-01-01,Closed,314,3
TKT-20128,USR-10222,Billing,High,Phone,2025-10-01,2025-10-05,Resolved,112,4
TKT-20129,USR-11089,Feature_Request,Medium,Phone,2025-10-15,2025-10-20,Resolved,124,5
TKT-20130,USR-11166,Onboarding,Low,WhatsApp,2025-12-02,,In_Progress,,
TKT-20131,USR-11917,Feature_Request,High,WhatsApp,2026-02-22,,Open,,
TKT-20132,USR-11961,Integration,High,Email,2026-02-08,2026-02-16,Resolved,202,5
TKT-20133,USR-10714,Onboarding,Critical,Email,2026-02-17,2026-02-20,Closed,89,3
TKT-20134,USR-11458,Integration,Medium,Email,2025-10-19,2025-10-25,Resolved,154,2
TKT-20135,USR-11934,Performance,Medium,Chat,2025-12-12,,Open,,
TKT-20136,USR-11587,Performance,Medium,WhatsApp,2025-11-24,2025-12-07,Resolved,325,4
TKT-20137,USR-11441,Bug,High,Email,2026-02-03,2026-02-17,Resolved,349,3
TKT-20138,USR-11075,Feature_Request,High,WhatsApp,2026-02-10,,In_Progress,,
TKT-20139,USR-11156,Performance,Critical,WhatsApp,2025-07-17,2025-07-17,Closed,2,1
TKT-20140,USR-11242,Billing,High,Email,2026-02-18,2026-03-03,Closed,312,3
TKT-20141,USR-10384,Integration,Critical,Email,2026-02-18,,Open,,
TKT-20142,USR-10254,Feature_Request,Medium,WhatsApp,2026-02-27,2026-03-09,Resolved,245,4
TKT-20143,USR-11692,Feature_Request,High,Chat,2026-01-21,2026-01-27,Resolved,156,3
TKT-20144,USR-10689,Onboarding,High,Email,2025-11-24,,In_Progress,,
TKT-20145,USR-11388,Feature_Request,Low,Email,2025-11-29,,In_Progress,,
TKT-20146,USR-10784,Bug,Medium,Phone,2026-02-24,,Open,,
TKT-20147,USR-10029,Bug,Low,Phone,2025-12-28,2026-01-02,Resolved,122,4
TKT-20148,USR-11377,Feature_Request,High,Email,2025-09-19,2025-09-21,Closed,59,4
TKT-20149,USR-10100,Onboarding,Medium,Email,2025-10-14,2025-10-26,Closed,293,3
TKT-20150,USR-11055,Billing,High,Chat,2026-02-08,2026-02-22,Resolved,340,5
TKT-20151,USR-10542,Feature_Request,Low,Chat,2025-10-21,,Open,,
TKT-20152,USR-10958,Onboarding,Low,Phone,2026-01-24,,In_Progress,,
TKT-20153,USR-11438,Performance,Low,Email,2025-10-11,2025-10-23,Closed,303,4
TKT-20154,USR-10893,Feature_Request,Medium,Email,2025-12-31,,Open,,
TKT-20155,USR-10908,Feature_Request,High,Phone,2026-02-18,2026-02-23,Resolved,134,5
TKT-20156,USR-11920,Billing,Low,Email,2026-01-24,2026-01-30,Resolved,162,3
TKT-20157,USR-10444,Integration,High,Chat,2025-12-15,2025-12-24,Resolved,220,4
TKT-20158,USR-11969,Billing,Medium,Phone,2025-10-07,,In_Progress,,
TKT-20159,USR-11700,Bug,Medium,Phone,2026-01-19,2026-01-19,Resolved,16,4
TKT-20160,USR-10370,Feature_Request,High,Chat,2026-02-22,2026-02-25,Closed,76,5
TKT-20161,USR-11234,Integration,High,Chat,2025-09-04,2025-09-11,Closed,172,5
TKT-20162,USR-10904,Feature_Request,High,Chat,2026-01-28,2026-02-08,Closed,273,2
TKT-20163,USR-11642,Bug,Low,Email,2026-01-18,2026-01-24,Closed,145,3
TKT-20164,USR-11706,Performance,Medium,Chat,2026-02-18,2026-03-01,Resolved,264,4
TKT-20165,USR-11468,Feature_Request,High,Phone,2025-08-18,2025-08-24,Resolved,153,3
TKT-20166,USR-10514,Bug,High,Phone,2025-10-13,2025-10-25,Closed,292,4
TKT-20167,USR-10320,Performance,Critical,WhatsApp,2025-10-28,2025-10-28,Resolved,12,1
TKT-20168,USR-11470,Integration,Medium,WhatsApp,2026-01-29,2026-02-05,Resolved,185,4
TKT-20169,USR-10654,Performance,High,Phone,2026-01-11,2026-01-20,Closed,222,1
TKT-20170,USR-10080,Billing,Low,WhatsApp,2026-02-15,,Open,,
TKT-20171,USR-10433,Performance,Critical,WhatsApp,2025-10-13,2025-10-16,Resolved,82,4
TKT-20172,USR-10580,Onboarding,Medium,Phone,2025-11-11,2025-11-12,Resolved,38,4
TKT-20173,USR-11339,Billing,Low,Email,2025-09-30,2025-10-12,Resolved,310,3
TKT-20174,USR-10587,Onboarding,Medium,Chat,2025-12-05,2025-12-11,Closed,154,4
TKT-20175,USR-10607,Performance,Medium,Phone,2026-02-18,2026-02-19,Resolved,26,4
TKT-20176,USR-11674,Integration,Medium,Phone,2025-12-03,2025-12-09,Resolved,162,4
TKT-20177,USR-10836,Feature_Request,High,Email,2025-10-28,2025-10-28,Closed,22,4
TKT-20178,USR-10448,Onboarding,High,Phone,2026-02-19,2026-02-21,Resolved,64,4
TKT-20179,USR-10524,Performance,Low,Email,2025-07-04,,In_Progress,,
TKT-20180,USR-10667,Billing,High,Phone,2026-01-22,2026-01-27,Resolved,143,4
TKT-20181,USR-10405,Onboarding,Medium,Chat,2025-10-13,2025-10-20,Resolved,177,1
TKT-20182,USR-10294,Onboarding,Medium,Chat,2025-12-23,2025-12-25,Resolved,55,4
TKT-20183,USR-11618,Onboarding,Low,Chat,2025-12-24,,Open,,
TKT-20184,USR-11269,Bug,High,Email,2025-09-10,2025-09-14,Closed,101,3
TKT-20185,USR-11243,Performance,Medium,Phone,2025-12-05,2025-12-16,Closed,282,5
TKT-20186,USR-10807,Bug,Medium,Phone,2025-09-12,2025-09-19,Closed,174,5
TKT-20187,USR-11235,Billing,Critical,WhatsApp,2025-11-19,2025-11-20,Resolved,36,3
TKT-20188,USR-10937,Performance,High,WhatsApp,2026-01-28,2026-02-04,Resolved,181,2
TKT-20189,USR-10803,Onboarding,Medium,Chat,2026-02-11,2026-02-14,Resolved,93,5
TKT-20190,USR-11981,Integration,High,Phone,2025-10-22,2025-10-30,Resolved,215,1
TKT-20191,USR-10033,Integration,High,Email,2025-09-26,2025-09-28,Resolved,66,3
TKT-20192,USR-10976,Bug,Medium,Email,2026-02-09,2026-02-21,Closed,298,3
TKT-20193,USR-10917,Performance,High,WhatsApp,2026-02-21,2026-03-03,Closed,257,5
TKT-20194,USR-11679,Performance,Medium,Email,2026-02-13,2026-02-13,Closed,6,3
TKT-20195,USR-11599,Performance,Medium,WhatsApp,2025-08-16,2025-08-26,Resolved,253,5
TKT-20196,USR-10814,Billing,Low,Chat,2026-01-30,2026-02-03,Resolved,113,3
TKT-20197,USR-10098,Onboarding,High,WhatsApp,2025-10-23,2025-10-25,Resolved,67,4
TKT-20198,USR-11980,Bug,Medium,Chat,2026-01-08,2026-01-17,Closed,223,2
TKT-20199,USR-11393,Performance,Medium,Phone,2026-02-17,2026-02-18,Resolved,37,4
TKT-20200,USR-11638,Billing,Low,Email,2025-09-15,,Open,,
TKT-20201,USR-11424,Performance,Low,Chat,2026-02-28,,In_Progress,,
TKT-20202,USR-10248,Onboarding,Medium,Email,2025-08-17,2025-08-21,Resolved,116,4
TKT-20203,USR-11705,Bug,Medium,Chat,2025-10-02,2025-10-11,Closed,218,3
TKT-20204,USR-11589,Performance,High,Email,2026-01-15,2026-01-29,Closed,339,2
TKT-20205,USR-11026,Feature_Request,Low,Chat,2026-01-30,,In_Progress,,
TKT-20206,USR-10745,Bug,Medium,Email,2026-02-22,2026-02-25,Closed,93,2
TKT-20207,USR-10136,Feature_Request,High,Email,2025-10-19,,In_Progress,,
TKT-20208,USR-10993,Billing,Medium,Email,2025-08-15,2025-08-23,Resolved,193,2
TKT-20209,USR-11707,Billing,Low,Email,2025-09-21,,Open,,
TKT-20210,USR-10200,Performance,High,Chat,2026-01-09,2026-01-19,Resolved,240,5
TKT-20211,USR-11431,Billing,Medium,WhatsApp,2026-02-10,2026-02-20,Closed,252,5
TKT-20212,USR-11779,Feature_Request,High,Phone,2025-09-19,2025-10-02,Closed,328,5
TKT-20213,USR-10488,Feature_Request,Critical,Chat,2025-09-22,,Open,,
TKT-20214,USR-10640,Feature_Request,Critical,Chat,2025-10-21,2025-10-24,Resolved,94,1
TKT-20215,USR-11413,Integration,Medium,Email,2025-12-30,,Open,,
TKT-20216,USR-11855,Billing,High,Chat,2026-01-20,2026-01-20,Resolved,17,5
TKT-20217,USR-11910,Performance,Low,Email,2026-02-06,2026-02-15,Resolved,221,3
TKT-20218,USR-10231,Onboarding,Medium,Email,2025-08-19,2025-08-19,Resolved,5,4
TKT-20219,USR-10543,Performance,Low,Email,2025-08-05,2025-08-07,Resolved,70,4
TKT-20220,USR-10923,Onboarding,Low,Email,2026-02-08,,Open,,
TKT-20221,USR-10180,Bug,Low,Email,2026-02-23,2026-03-02,Resolved,184,5
TKT-20222,USR-11954,Performance,Low,Chat,2026-02-13,,Open,,
TKT-20223,USR-10821,Onboarding,Medium,WhatsApp,2025-10-18,2025-10-30,Resolved,311,5
TKT-20224,USR-10277,Integration,Low,WhatsApp,2026-02-25,,In_Progress,,
TKT-20225,USR-11791,Feature_Request,Critical,Chat,2025-10-14,,In_Progress,,
TKT-20226,USR-10349,Bug,Low,Phone,2026-02-19,2026-02-20,Resolved,30,5
TKT-20227,USR-11312,Billing,Medium,Phone,2026-02-28,2026-03-05,Closed,122,1
TKT-20228,USR-10124,Performance,High,Phone,2025-12-25,2025-12-30,Closed,136,1
TKT-20229,USR-10655,Bug,High,WhatsApp,2025-09-13,2025-09-27,Resolved,352,1
TKT-20230,USR-10513,Onboarding,High,Email,2026-01-17,2026-01-17,Closed,0,3
TKT-20231,USR-11332,Onboarding,Medium,Email,2025-09-25,2025-09-29,Closed,106,3
TKT-20232,USR-10671,Performance,High,WhatsApp,2026-01-16,2026-01-23,Closed,188,4
TKT-20233,USR-11218,Onboarding,Low,Chat,2026-01-27,,In_Progress,,
TKT-20234,USR-10241,Performance,Medium,Chat,2026-01-11,,Open,,
TKT-20235,USR-10184,Bug,Low,WhatsApp,2026-02-20,2026-02-20,Resolved,17,3
TKT-20236,USR-10063,Billing,High,Chat,2026-02-15,2026-02-15,Resolved,12,3
TKT-20237,USR-10644,Billing,Low,WhatsApp,2026-01-10,2026-01-20,Closed,242,3
TKT-20238,USR-11472,Billing,Medium,WhatsApp,2025-10-09,2025-10-15,Resolved,162,4
TKT-20239,USR-10892,Integration,Medium,Phone,2025-10-12,2025-10-22,Resolved,241,3
TKT-20240,USR-10917,Performance,Medium,Chat,2026-02-23,2026-02-27,Resolved,103,4
TKT-20241,USR-11110,Performance,Medium,Phone,2026-02-27,,Open,,
TKT-20242,USR-11681,Feature_Request,Medium,WhatsApp,2025-09-29,2025-10-11,Resolved,290,4
TKT-20243,USR-11196,Feature_Request,Low,WhatsApp,2026-02-16,,Open,,
TKT-20244,USR-10079,Integration,Medium,WhatsApp,2026-01-30,2026-02-06,Resolved,182,2
TKT-20245,USR-11553,Billing,Medium,Chat,2025-09-30,,In_Progress,,
TKT-20246,USR-10515,Performance,Critical,WhatsApp,2025-10-15,2025-10-17,Resolved,62,5
TKT-20247,USR-11345,Bug,Medium,Phone,2026-01-11,,Open,,
TKT-20248,USR-11302,Integration,High,WhatsApp,2026-01-19,2026-01-27,Resolved,199,3
TKT-20249,USR-10738,Performance,Medium,Email,2026-01-19,2026-01-26,Closed,174,4
TKT-20250,USR-11287,Performance,Medium,Phone,2025-09-16,2025-09-30,Resolved,336,1
TKT-20251,USR-11831,Integration,Low,Phone,2026-01-01,2026-01-07,Resolved,156,3
TKT-20252,USR-10586,Integration,Low,Email,2025-08-31,2025-09-10,Resolved,250,4
TKT-20253,USR-11480,Onboarding,High,WhatsApp,2026-01-26,2026-01-28,Closed,69,4
TKT-20254,USR-10929,Onboarding,Low,Email,2025-11-19,,In_Progress,,
TKT-20255,USR-11700,Bug,High,Chat,2025-11-08,2025-11-14,Resolved,157,2
TKT-20256,USR-10868,Bug,Low,Chat,2026-01-04,2026-01-05,Resolved,35,5
TKT-20257,USR-10815,Performance,Low,WhatsApp,2026-02-18,2026-02-20,Closed,53,4
TKT-20258,USR-11637,Integration,Medium,Phone,2025-07-27,,In_Progress,,
TKT-20259,USR-10940,Billing,Medium,Phone,2025-10-19,2025-10-24,Resolved,126,3
TKT-20260,USR-10554,Feature_Request,Critical,Phone,2025-07-31,,Open,,
TKT-20261,USR-10543,Integration,Medium,Chat,2025-09-17,2025-09-22,Resolved,140,2
TKT-20262,USR-11135,Integration,High,Email,2025-08-03,2025-08-16,Resolved,328,3
TKT-20263,USR-10224,Feature_Request,Low,WhatsApp,2026-02-25,2026-02-26,Closed,44,4
TKT-20264,USR-11250,Bug,Critical,WhatsApp,2026-02-10,2026-02-13,Resolved,77,4
TKT-20265,USR-10518,Onboarding,Critical,WhatsApp,2025-10-21,2025-10-22,Resolved,35,3
TKT-20266,USR-11566,Performance,Medium,Chat,2025-08-29,,In_Progress,,
TKT-20267,USR-10125,Onboarding,Medium,Email,2026-02-20,2026-02-25,Closed,128,5
TKT-20268,USR-10983,Integration,Low,Phone,2026-01-04,,In_Progress,,
TKT-20269,USR-11961,Onboarding,High,Chat,2026-02-23,2026-02-27,Resolved,96,3
TKT-20270,USR-11483,Integration,Low,Email,2025-08-17,2025-08-23,Closed,167,5
TKT-20271,USR-10979,Integration,Medium,Chat,2026-02-05,2026-02-07,Resolved,56,5
TKT-20272,USR-11294,Onboarding,Low,Chat,2026-01-23,2026-02-03,Closed,276,4
TKT-20273,USR-11656,Integration,Medium,Chat,2025-12-11,2025-12-22,Resolved,268,3
TKT-20274,USR-11636,Billing,Medium,WhatsApp,2025-10-05,2025-10-14,Closed,226,4
TKT-20275,USR-10018,Onboarding,Low,Chat,2025-12-20,,Open,,
TKT-20276,USR-10209,Billing,Critical,Email,2025-09-05,,Open,,
TKT-20277,USR-10166,Onboarding,Low,WhatsApp,2025-12-19,,Open,,
TKT-20278,USR-10338,Integration,Critical,Email,2026-02-11,2026-02-14,Closed,92,5
TKT-20279,USR-10273,Billing,Critical,Phone,2025-10-08,2025-10-11,Closed,76,3
TKT-20280,USR-10761,Billing,High,WhatsApp,2025-09-20,2025-09-26,Closed,160,4
TKT-20281,USR-11792,Feature_Request,Low,Chat,2026-01-03,,Open,,
TKT-20282,USR-10569,Feature_Request,Low,WhatsApp,2025-09-15,2025-09-15,Resolved,5,3
TKT-20283,USR-10505,Performance,Critical,Phone,2026-02-26,2026-02-28,Resolved,71,1
TKT-20284,USR-11226,Performance,High,Email,2026-02-14,2026-02-19,Resolved,135,5
TKT-20285,USR-11438,Integration,Medium,Phone,2025-12-09,,Open,,
TKT-20286,USR-11021,Onboarding,High,Email,2025-11-27,2025-12-10,Resolved,324,3
TKT-20287,USR-10908,Onboarding,Low,Phone,2026-02-05,,Open,,
TKT-20288,USR-11201,Bug,High,Email,2026-02-11,2026-02-12,Resolved,42,4
TKT-20289,USR-10114,Bug,Medium,Email,2025-12-18,,Open,,
TKT-20290,USR-11086,Feature_Request,Critical,WhatsApp,2026-02-15,2026-02-18,Resolved,78,1
TKT-20291,USR-10731,Feature_Request,Medium,Chat,2025-10-14,2025-10-14,Closed,5,3
TKT-20292,USR-10178,Billing,Low,WhatsApp,2026-02-07,2026-02-09,Resolved,57,3
TKT-20293,USR-11717,Performance,Low,Email,2025-09-13,,Open,,
TKT-20294,USR-11750,Feature_Request,Medium,Email,2025-12-08,2025-12-08,Resolved,10,5
TKT-20295,USR-10830,Feature_Request,Low,WhatsApp,2025-09-27,2025-10-09,Resolved,311,3
TKT-20296,USR-11935,Integration,High,Phone,2025-10-02,2025-10-13,Closed,274,5
TKT-20297,USR-10939,Bug,Medium,Phone,2025-08-23,2025-08-31,Closed,215,5
TKT-20298,USR-11885,Performance,Low,Phone,2025-11-05,,In_Progress,,
TKT-20299,USR-11921,Performance,High,Chat,2026-02-15,2026-02-22,Closed,170,4
TKT-20300,USR-11351,Onboarding,High,Email,2026-02-01,2026-02-03,Closed,67,4
TKT-20301,USR-10560,Integration,Medium,WhatsApp,2026-01-01,2026-01-06,Closed,135,3
TKT-20302,USR-10521,Performance,Critical,Email,2025-10-05,,Open,,
