user_id,feature,adoption_level,last_used_date
USR-10043,Nómina,activated,2025-12-22
USR-10043,Gestión de contactos,used_10x,2026-01-15
USR-10043,Cotizaciones,used_5x,2026-01-26
USR-10043,Inventario,power_user,2026-01-02
USR-10043,Centro de costos,activated,2025-12-20
USR-10044,Multi-moneda,used_1x,2025-07-24
USR-10044,Reportes financieros,used_5x,2025-09-13
USR-10044,Gestión de contactos,used_1x,2025-08-08
USR-10044,Facturación electrónica,used_5x,2025-07-20
USR-10044,Punto de venta,activated,2025-08-31
USR-10044,Inventario,used_10x,2025-08-24
USR-10044,Conciliación bancaria,used_5x,2025-07-20
USR-10044,Nómina,power_user,2025-08-31
USR-10045,Inventario,used_1x,2025-09-03
USR-10045,Cotizaciones,used_5x,2025-10-07
USR-10045,Gestión de contactos,activated,2025-09-09
USR-10045,Facturación electrónica,used_5x,2025-09-01
USR-10046,Conciliación bancaria,power_user,2025-08-21
USR-10046,Nómina,used_10x,2025-08-08
USR-10046,Cotizaciones,used_1x,2025-07-22
USR-10046,Gestión de contactos,used_1x,2025-08-18
USR-10047,Gestión de contactos,used_5x,2025-09-06
USR-10047,Multi-moneda,used_5x,2025-09-10
USR-10047,Nómina,used_5x,2025-09-26
USR-10047,Facturación electrónica,used_1x,2025-09-05
USR-10048,Reportes financieros,power_user,2025-09-01
USR-10048,Centro de costos,used_5x,2025-08-08
USR-10048,Multi-moneda,used_10x,2025-08-17
USR-10048,Punto de venta,used_10x,2025-09-23
USR-10048,Cotizaciones,used_1x,2025-09-28
USR-10048,Conciliación bancaria,used_10x,2025-08-17
USR-10048,Nómina,used_10x,2025-08-18
USR-10048,Gestión de contactos,used_5x,2025-09-22
USR-10048,Facturación electrónica,used_5x,2025-09-11
USR-10049,Gestión de contactos,power_user,2025-10-12
USR-10049,Conciliación bancaria,used_5x,2025-10-11
USR-10050,Facturación electrónica,used_1x,2025-12-02
USR-10050,Inventario,power_user,2025-10-30
USR-10050,Conciliación bancaria,used_5x,2025-11-25
USR-10050,Cotizaciones,used_10x,2025-11-08
USR-10050,Multi-moneda,activated,2025-12-19
USR-10051,Conciliación bancaria,activated,2025-12-18
USR-10051,Gestión de contactos,activated,2026-01-26
USR-10052,Inventario,used_1x,2025-11-04
USR-10052,Reportes financieros,used_1x,2025-11-25
USR-10052,Facturación electrónica,used_5x,2025-10-31
USR-10052,Gestión de contactos,activated,2025-10-25
USR-10052,Multi-moneda,used_5x,2025-11-13
USR-10052,Cotizaciones,used_5x,2025-11-04
USR-10052,Conciliación bancaria,used_1x,2025-11-26
USR-10053,Nómina,activated,2025-10-01
USR-10053,Gestión de contactos,used_5x,2025-10-03
USR-10053,Conciliación bancaria,used_10x,2025-09-16
USR-10054,Reportes financieros,used_5x,2025-11-22
USR-10054,Facturación electrónica,power_user,2025-12-03
USR-10054,Cotizaciones,used_5x,2025-11-06
USR-10054,Inventario,used_10x,2025-12-02
USR-10054,Centro de costos,activated,2025-11-26
USR-10055,Facturación electrónica,used_1x,2025-08-26
USR-10055,Reportes financieros,activated,2025-09-05
USR-10055,Gestión de contactos,used_1x,2025-09-13
USR-10056,Reportes financieros,power_user,2025-11-22
USR-10057,Centro de costos,activated,2025-11-20
USR-10057,Conciliación bancaria,used_5x,2025-12-10
USR-10057,Nómina,activated,2025-11-21
USR-10057,Cotizaciones,used_10x,2025-12-27
USR-10057,Punto de venta,used_1x,2025-12-10
USR-10057,Facturación electrónica,activated,2025-10-29
USR-10058,Reportes financieros,used_10x,2025-12-12
USR-10058,Cotizaciones,used_1x,2025-12-27
USR-10058,Nómina,used_5x,2026-01-20
USR-10058,Gestión de contactos,used_5x,2026-01-07
USR-10058,Facturación electrónica,used_1x,2026-01-20
USR-10058,Conciliación bancaria,used_5x,2026-01-29
USR-10058,Inventario,used_1x,2025-12-10
USR-10058,Centro de costos,used_10x,2026-01-12
USR-10058,Multi-moneda,used_1x,2026-02-02
USR-10059,Centro de costos,power_user,2025-12-21
USR-10059,Conciliación bancaria,used_10x,2025-11-20
USR-10059,Facturación electrónica,activated,2025-11-04
USR-10059,Punto de venta,used_5x,2025-11-29
USR-10060,Punto de venta,activated,2025-09-28
USR-10060,Multi-moneda,used_5x,2025-08-19
USR-10060,Centro de costos,used_10x,2025-08-11
USR-10061,Punto de venta,activated,2025-08-24
USR-10061,Conciliación bancaria,used_1x,2025-09-14
USR-10061,Facturación electrónica,activated,2025-08-26
USR-10061,Nómina,used_10x,2025-08-30
USR-10062,Facturación electrónica,activated,2026-01-19
USR-10062,Multi-moneda,power_user,2025-12-09
USR-10062,Gestión de contactos,used_10x,2025-12-25
USR-10062,Cotizaciones,used_5x,2025-12-09
USR-10062,Punto de venta,activated,2026-01-13
USR-10063,Nómina,used_1x,2026-01-21
USR-10063,Multi-moneda,used_1x,2025-12-26
USR-10063,Punto de venta,used_5x,2025-12-20
USR-10063,Gestión de contactos,used_1x,2026-01-11
USR-10063,Cotizaciones,activated,2025-12-09
USR-10064,Inventario,used_5x,2025-09-02
USR-10064,Centro de costos,activated,2025-08-13
USR-10064,Facturación electrónica,used_10x,2025-09-20
USR-10064,Reportes financieros,used_10x,2025-09-15
USR-10065,Punto de venta,activated,2025-11-11
USR-10065,Inventario,used_5x,2025-09-25
USR-10065,Gestión de contactos,used_10x,2025-10-24
USR-10066,Multi-moneda,activated,2026-02-01
USR-10066,Reportes financieros,power_user,2026-02-04
USR-10067,Centro de costos,used_1x,2025-11-03
USR-10067,Punto de venta,used_1x,2025-10-31
USR-10067,Cotizaciones,used_10x,2025-11-16
USR-10068,Gestión de contactos,activated,2026-02-11
USR-10068,Cotizaciones,activated,2026-02-06
USR-10068,Multi-moneda,activated,2026-02-22
USR-10068,Reportes financieros,used_5x,2026-02-10
USR-10068,Punto de venta,used_1x,2026-01-29
USR-10069,Reportes financieros,activated,2025-08-02
USR-10070,Conciliación bancaria,activated,2025-12-29
USR-10070,Nómina,used_1x,2026-01-01
USR-10070,Cotizaciones,used_10x,2026-02-02
USR-10071,Inventario,activated,2025-10-10
USR-10071,Gestión de contactos,used_5x,2025-10-16
USR-10071,Conciliación bancaria,activated,2025-11-07
USR-10071,Facturación electrónica,used_1x,2025-10-04
USR-10072,Conciliación bancaria,activated,2025-12-21
USR-10072,Multi-moneda,used_5x,2026-01-27
USR-10072,Inventario,used_10x,2025-12-14
USR-10072,Nómina,activated,2026-01-28
USR-10073,Inventario,used_1x,2025-12-13
USR-10073,Gestión de contactos,used_5x,2025-12-18
USR-10073,Nómina,used_1x,2025-12-15
USR-10073,Punto de venta,used_1x,2025-11-28
USR-10074,Gestión de contactos,used_1x,2026-02-11
USR-10074,Centro de costos,power_user,2026-02-21
USR-10074,Facturación electrónica,activated,2026-02-17
USR-10074,Punto de venta,power_user,2026-02-09
USR-10074,Reportes financieros,used_1x,2026-02-12
USR-10074,Nómina,activated,2026-03-01
USR-10075,Cotizaciones,activated,2025-08-16
USR-10075,Conciliación bancaria,used_5x,2025-09-03
USR-10075,Facturación electrónica,activated,2025-09-25
USR-10075,Multi-moneda,used_10x,2025-10-07
USR-10075,Centro de costos,used_5x,2025-08-19
USR-10076,Reportes financieros,used_10x,2025-11-19
USR-10076,Centro de costos,activated,2025-11-11
USR-10077,Facturación electrónica,used_10x,2025-11-24
USR-10077,Conciliación bancaria,activated,2025-11-20
USR-10077,Reportes financieros,activated,2025-11-30
USR-10077,Nómina,used_10x,2025-11-18
USR-10077,Cotizaciones,used_1x,2025-12-16
USR-10078,Inventario,used_1x,2025-11-07
USR-10078,Multi-moneda,used_5x,2025-10-23
USR-10078,Centro de costos,used_5x,2025-11-12
USR-10078,Conciliación bancaria,used_5x,2025-10-23
USR-10079,Multi-moneda,used_10x,2026-02-18
USR-10079,Gestión de contactos,used_1x,2026-01-27
USR-10079,Centro de costos,used_10x,2026-02-24
USR-10080,Centro de costos,activated,2026-02-23
USR-10080,Nómina,power_user,2026-02-13
USR-10080,Reportes financieros,used_10x,2026-02-11
USR-10081,Centro de costos,power_user,2025-10-21
USR-10081,Conciliación bancaria,activated,2025-10-18
USR-10082,Gestión de contactos,activated,2026-02-04
USR-10082,Inventario,activated,2026-01-28
USR-10082,Multi-moneda,used_1x,2026-02-26
USR-10082,Punto de venta,used_1x,2026-01-26
USR-10082,Reportes financieros,used_10x,2026-02-03
USR-10083,Gestión de contactos,activated,2026-02-21
USR-10084,Cotizaciones,used_1x,2025-08-10
USR-10084,Inventario,used_1x,2025-07-24
USR-10084,Nómina,activated,2025-07-02
USR-10084,Reportes financieros,used_1x,2025-07-05
USR-10084,Centro de costos,used_1x,2025-08-16
USR-10084,Facturación electrónica,used_5x,2025-07-07
USR-10084,Multi-moneda,used_10x,2025-08-17
USR-10085,Gestión de contactos,used_10x,2025-10-24
USR-10085,Inventario,activated,2025-10-07
USR-10085,Centro de costos,activated,2025-10-07
USR-10086,Punto de venta,used_10x,2025-10-13
USR-10087,Conciliación bancaria,used_1x,2025-12-01
USR-10087,Inventario,used_10x,2025-10-20
USR-10088,Nómina,used_5x,2025-12-29
USR-10088,Multi-moneda,activated,2025-12-30
USR-10088,Conciliación bancaria,used_1x,2025-12-04
USR-10088,Gestión de contactos,used_5x,2026-01-29
USR-10088,Inventario,used_1x,2025-12-29
USR-10089,Inventario,used_10x,2025-08-12
USR-10089,Facturación electrónica,used_1x,2025-09-18
USR-10089,Multi-moneda,used_5x,2025-08-27
USR-10089,Cotizaciones,activated,2025-08-17
USR-10089,Reportes financieros,power_user,2025-08-12
USR-10089,Punto de venta,used_1x,2025-07-24
USR-10089,Centro de costos,used_5x,2025-08-22
USR-10089,Conciliación bancaria,used_1x,2025-08-09
USR-10090,Centro de costos,activated,2026-02-02
USR-10090,Nómina,activated,2026-02-13
USR-10091,Gestión de contactos,used_1x,2025-08-19
USR-10091,Nómina,used_10x,2025-09-24
USR-10091,Conciliación bancaria,activated,2025-09-15
USR-10091,Multi-moneda,power_user,2025-09-10
USR-10091,Inventario,activated,2025-08-24
USR-10092,Centro de costos,power_user,2025-08-13
USR-10092,Conciliación bancaria,used_5x,2025-08-10
USR-10093,Nómina,used_1x,2025-12-13
USR-10093,Inventario,used_1x,2025-11-08
USR-10093,Conciliación bancaria,used_10x,2025-12-19
USR-10094,Centro de costos,activated,2025-10-01
USR-10094,Inventario,used_5x,2025-08-25
USR-10095,Inventario,used_5x,2025-08-27
USR-10095,Reportes financieros,activated,2025-09-01
USR-10095,Nómina,used_5x,2025-09-16
USR-10095,Centro de costos,used_5x,2025-09-12
USR-10096,Punto de venta,used_5x,2025-08-08
USR-10096,Cotizaciones,used_5x,2025-08-09
USR-10096,Facturación electrónica,used_1x,2025-09-10
USR-10097,Gestión de contactos,used_10x,2026-01-13
USR-10097,Multi-moneda,used_5x,2026-02-17
USR-10097,Punto de venta,used_1x,2026-01-18
USR-10097,Inventario,activated,2026-01-16
USR-10097,Reportes financieros,used_1x,2025-12-30
USR-10098,Cotizaciones,used_10x,2025-10-31
USR-10098,Multi-moneda,used_5x,2025-09-22
USR-10098,Punto de venta,activated,2025-09-12
USR-10098,Centro de costos,used_1x,2025-10-04
USR-10099,Punto de venta,used_5x,2025-09-15
USR-10099,Conciliación bancaria,used_5x,2025-08-23
USR-10099,Facturación electrónica,activated,2025-07-24
USR-10099,Gestión de contactos,used_10x,2025-08-20
USR-10100,Multi-moneda,used_1x,2025-10-30
USR-10101,Nómina,used_1x,2025-11-09
USR-10101,Cotizaciones,used_1x,2025-09-19
USR-10101,Conciliación bancaria,activated,2025-10-12
USR-10102,Inventario,power_user,2026-01-19
USR-10102,Centro de costos,activated,2026-02-07
USR-10103,Multi-moneda,used_1x,2026-02-05
USR-10103,Reportes financieros,power_user,2026-02-17
USR-10103,Gestión de contactos,used_10x,2026-01-30
USR-10104,Facturación electrónica,used_5x,2026-02-08
USR-10104,Gestión de contactos,activated,2026-02-27
USR-10104,Inventario,activated,2026-02-20
USR-10105,Punto de venta,used_5x,2025-09-22
USR-10105,Cotizaciones,used_5x,2025-10-22
USR-10105,Gestión de contactos,activated,2025-10-09
USR-10106,Reportes financieros,activated,2025-10-13
USR-10106,Gestión de contactos,power_user,2025-09-02
USR-10106,Punto de venta,used_10x,2025-09-28
USR-10106,Nómina,activated,2025-09-28
USR-10107,Cotizaciones,used_5x,2026-02-27
USR-10107,Conciliación bancaria,power_user,2026-02-27
USR-10107,Inventario,used_5x,2026-02-26
USR-10107,Gestión de contactos,activated,2026-03-01
USR-10107,Facturación electrónica,activated,2026-03-01
USR-10108,Centro de costos,used_1x,2026-01-12
USR-10108,Punto de venta,used_1x,2026-01-10
USR-10108,Multi-moneda,used_10x,2025-11-28
USR-10109,Reportes financieros,used_10x,2026-02-12
USR-10109,Conciliación bancaria,power_user,2026-02-06
USR-10109,Multi-moneda,used_1x,2026-01-15
USR-10109,Centro de costos,activated,2026-01-31
USR-10109,Facturación electrónica,power_user,2026-02-12
USR-10109,Cotizaciones,activated,2025-12-17
USR-10109,Nómina,activated,2026-01-20
USR-10109,Inventario,used_5x,2026-02-12
USR-10109,Gestión de contactos,power_user,2026-01-02
USR-10109,Punto de venta,used_1x,2026-01-25
USR-10110,Nómina,used_5x,2026-02-25
USR-10110,Conciliación bancaria,activated,2026-02-26
USR-10110,Inventario,used_1x,2026-02-12
USR-10111,Conciliación bancaria,power_user,2026-02-05
USR-10111,Nómina,activated,2026-02-12
USR-10111,Cotizaciones,used_1x,2026-02-13
USR-10111,Multi-moneda,power_user,2026-02-14
USR-10111,Facturación electrónica,used_5x,2026-02-23
USR-10111,Centro de costos,activated,2026-02-25
USR-10111,Reportes financieros,used_1x,2026-02-12
USR-10112,Reportes financieros,activated,2025-10-21
USR-10112,Conciliación bancaria,used_1x,2025-11-19
USR-10112,Punto de venta,used_1x,2025-11-25
USR-10113,Centro de costos,used_1x,2026-01-19
USR-10113,Conciliación bancaria,activated,2026-01-21
USR-10113,Nómina,activated,2026-01-07
USR-10113,Reportes financieros,used_10x,2026-01-15
USR-10113,Facturación electrónica,activated,2025-12-31
USR-10114,Gestión de contactos,used_1x,2025-12-14
USR-10114,Facturación electrónica,activated,2025-11-05
USR-10114,Multi-moneda,used_5x,2025-10-25
USR-10114,Conciliación bancaria,used_1x,2025-12-06
USR-10114,Inventario,activated,2025-10-26
USR-10115,Cotizaciones,used_10x,2025-08-06
USR-10116,Inventario,power_user,2026-02-13
USR-10116,Centro de costos,activated,2025-12-23
USR-10116,Cotizaciones,power_user,2026-01-20
USR-10116,Reportes financieros,used_5x,2026-01-25
USR-10117,Nómina,used_5x,2025-12-04
USR-10118,Multi-moneda,used_1x,2025-10-09
USR-10118,Facturación electrónica,used_10x,2025-08-25
USR-10118,Punto de venta,activated,2025-09-09
USR-10118,Conciliación bancaria,activated,2025-10-19
USR-10118,Centro de costos,used_5x,2025-09-11
USR-10118,Gestión de contactos,used_5x,2025-10-10
USR-10119,Reportes financieros,used_5x,2025-09-22
USR-10119,Facturación electrónica,power_user,2025-09-15
USR-10120,Cotizaciones,used_10x,2025-10-27
USR-10120,Multi-moneda,activated,2025-10-11
USR-10120,Inventario,used_1x,2025-11-11
USR-10120,Gestión de contactos,activated,2025-10-26
USR-10121,Reportes financieros,power_user,2026-01-13
USR-10121,Punto de venta,used_1x,2025-12-24
USR-10121,Conciliación bancaria,used_5x,2025-12-02
USR-10122,Centro de costos,power_user,2025-07-30
USR-10122,Punto de venta,power_user,2025-07-11
USR-10122,Gestión de contactos,activated,2025-07-23
USR-10123,Punto de venta,activated,2025-11-29
USR-10123,Centro de costos,used_1x,2025-11-22
USR-10124,Conciliación bancaria,activated,2025-12-22
USR-10125,Inventario,used_1x,2026-02-26
USR-10125,Punto de venta,used_1x,2026-02-27
USR-10126,Inventario,power_user,2026-01-14
USR-10126,Multi-moneda,activated,2026-02-04
USR-10126,Gestión de contactos,activated,2026-02-02
USR-10126,Nómina,used_5x,2026-01-29
USR-10126,Reportes financieros,activated,2025-12-20
USR-10127,Facturación electrónica,activated,2025-08-06
USR-10127,Gestión de contactos,used_5x,2025-07-03
USR-10128,Nómina,used_1x,2025-11-03
USR-10128,Multi-moneda,used_1x,2025-11-01
USR-10128,Inventario,used_1x,2025-10-05
USR-10128,Centro de costos,power_user,2025-10-11
USR-10129,Cotizaciones,used_10x,2026-02-02
USR-10129,Multi-moneda,used_10x,2026-01-28
USR-10129,Gestión de contactos,power_user,2025-12-29
USR-10129,Facturación electrónica,used_10x,2026-02-19
USR-10129,Conciliación bancaria,activated,2026-01-05
USR-10129,Centro de costos,power_user,2026-02-05
USR-10129,Nómina,used_10x,2026-01-22
USR-10130,Conciliación bancaria,used_5x,2025-10-05
USR-10130,Facturación electrónica,power_user,2025-09-29
USR-10130,Punto de venta,activated,2025-09-25
USR-10130,Reportes financieros,used_5x,2025-11-03
USR-10130,Nómina,used_1x,2025-11-06
USR-10131,Nómina,used_10x,2026-02-09
USR-10132,Gestión de contactos,used_5x,2026-02-26
USR-10132,Punto de venta,used_1x,2026-02-23
USR-10132,Conciliación bancaria,activated,2026-01-30
USR-10132,Reportes financieros,used_5x,2026-01-20
USR-10132,Centro de costos,activated,2026-02-08
USR-10133,Reportes financieros,activated,2025-09-28
USR-10133,Gestión de contactos,activated,2025-10-17
USR-10134,Multi-moneda,activated,2025-08-02
USR-10134,Conciliación bancaria,used_1x,2025-07-12
USR-10135,Inventario,activated,2025-09-28
USR-10135,Multi-moneda,activated,2025-09-20
USR-10135,Reportes financieros,used_1x,2025-09-05
USR-10135,Centro de costos,used_1x,2025-10-31
USR-10135,Cotizaciones,activated,2025-10-11
USR-10136,Multi-moneda,used_10x,2025-09-28
USR-10136,Cotizaciones,used_5x,2025-09-11
USR-10136,Conciliación bancaria,activated,2025-08-24
USR-10136,Punto de venta,used_5x,2025-09-17
USR-10137,Punto de venta,used_10x,2025-10-13
USR-10137,Conciliación bancaria,activated,2025-10-26
USR-10137,Cotizaciones,activated,2025-10-24
USR-10138,Nómina,activated,2026-01-12
USR-10138,Cotizaciones,used_5x,2026-02-22
USR-10138,Gestión de contactos,used_1x,2026-01-31
USR-10138,Multi-moneda,power_user,2026-02-02
USR-10138,Conciliación bancaria,used_5x,2026-02-06
USR-10139,Nómina,used_5x,2025-12-28
USR-10139,Multi-moneda,used_5x,2025-12-12
USR-10139,Punto de venta,power_user,2025-12-08
USR-10139,Conciliación bancaria,power_user,2025-12-14
USR-10139,Cotizaciones,activated,2025-11-23
USR-10139,Inventario,activated,2025-12-19
USR-10139,Centro de costos,used_5x,2025-12-22
USR-10139,Reportes financieros,used_5x,2025-12-23
USR-10140,Facturación electrónica,used_1x,2025-12-26
USR-10140,Gestión de contactos,activated,2026-02-19
USR-10141,Gestión de contactos,used_5x,2026-02-06
USR-10141,Nómina,activated,2026-01-19
USR-10142,Inventario,used_1x,2026-01-11
USR-10142,Centro de costos,activated,2026-01-07
USR-10142,Multi-moneda,used_5x,2025-12-24
USR-10143,Cotizaciones,used_10x,2025-12-09
USR-10143,Facturación electrónica,used_5x,2026-01-25
USR-10143,Punto de venta,used_10x,2025-12-16
USR-10143,Nómina,used_1x,2025-12-17
USR-10143,Inventario,used_1x,2025-12-21
USR-10144,Conciliación bancaria,used_5x,2025-11-10
USR-10144,Multi-moneda,used_5x,2025-11-09
USR-10145,Nómina,used_1x,2025-09-11
USR-10145,Inventario,activated,2025-08-28
USR-10145,Conciliación bancaria,used_1x,2025-09-04
USR-10145,Gestión de contactos,used_5x,2025-09-17
USR-10146,Conciliación bancaria,used_1x,2025-08-24
USR-10146,Gestión de contactos,used_10x,2025-09-16
USR-10146,Facturación electrónica,used_1x,2025-09-12
USR-10146,Cotizaciones,used_1x,2025-09-12
USR-10146,Inventario,used_1x,2025-10-04
USR-10147,Punto de venta,used_10x,2026-02-25
USR-10147,Centro de costos,used_5x,2026-02-20
USR-10148,Gestión de contactos,power_user,2026-01-21
USR-10149,Nómina,activated,2026-02-27
USR-10149,Gestión de contactos,used_5x,2026-02-28
USR-10149,Multi-moneda,used_5x,2026-02-14
USR-10149,Cotizaciones,used_5x,2026-02-15
USR-10150,Conciliación bancaria,used_10x,2026-01-10
USR-10150,Reportes financieros,used_5x,2025-11-20
USR-10150,Centro de costos,activated,2026-01-01
USR-10150,Gestión de contactos,used_10x,2026-01-11
USR-10151,Conciliación bancaria,used_5x,2026-01-13
USR-10151,Punto de venta,used_5x,2026-01-20
